DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2023,ES,322,ES61,1,2411.14424,1,1,1
2023,ES,323,ES61,1,1318.86524,1,1,1
2023,ES,324,ES61,1,1283.01429,1,1,1
2023,ES,325,ES61,1,1142.30882,1,1,1
2023,ES,326,ES61,1,2649.16774,1,1,1
2023,ES,328,ES61,1,742.05285,1,1,1
2023,ES,329,ES61,1,1007.75891,1,1,1
2023,ES,330,ES61,1,1994.71739,1,1,1
2023,ES,331,ES61,1,1563.95581,1,1,1
2023,ES,332,ES61,1,2201.23846,1,1,1
2023,ES,333,ES61,1,1976.80139,1,1,1
2023,ES,334,ES61,1,2093.89316,1,1,1
2023,ES,335,ES61,1,1458.92109,1,1,1
2023,ES,336,ES61,1,1064.06550,1,1,1
2023,ES,337,ES61,1,2504.74296,1,1,1
2023,ES,338,ES61,1,1561.64875,1,1,1
2023,ES,339,ES61,1,1914.18158,1,1,1
2023,ES,340,ES61,1,1562.05622,1,1,1
2023,ES,341,ES61,1,2046.20492,1,1,1
2023,ES,342,ES61,1,1393.95706,1,1,1
2023,ES,343,ES61,1,2241.43811,1,1,1
2023,ES,344,ES61,1,2201.23846,1,1,1
2023,ES,345,ES61,1,1438.70860,1,2,1
2023,ES,346,ES61,1,1312.77882,1,2,1
2023,ES,347,ES61,1,3228.34804,1,2,1
2023,ES,348,ES61,1,1618.50058,1,2,1
2023,ES,349,ES61,1,1289.44005,1,2,1
2023,ES,350,ES61,1,1075.74129,1,2,1
2023,ES,351,ES61,1,1682.74910,1,2,1
2023,ES,352,ES61,1,2571.37031,1,2,1
2023,ES,353,ES61,1,3200.70714,1,2,1
2023,ES,354,ES61,1,2607.84334,1,2,1
2023,ES,355,ES61,1,2918.76966,1,2,1
2023,ES,356,ES61,1,1573.76901,1,2,1
2023,ES,357,ES61,1,1154.15480,1,2,1
2023,ES,358,ES61,1,3522.20094,1,2,1
2023,ES,359,ES61,1,3248.31307,1,2,1
2023,ES,360,ES61,1,2041.06953,1,2,1
2023,ES,361,ES61,1,3074.15015,1,2,1
2023,ES,363,ES61,1,800.34488,1,3,1
2023,ES,364,ES61,1,1366.45424,1,2,1
2023,ES,365,ES61,1,1045.76824,1,2,1
2023,ES,366,ES61,1,1745.48246,1,2,1
2023,ES,367,ES61,1,5132.02230,1,2,1
2023,ES,368,ES61,1,3869.63384,1,2,1
2023,ES,369,ES61,1,2829.02548,1,2,1
2023,ES,370,ES61,1,3035.13033,1,2,1
2023,ES,371,ES61,1,3308.87102,1,3,1
2023,ES,372,ES61,1,2100.60022,1,3,1
2023,ES,373,ES61,1,2266.59781,1,3,1
2023,ES,374,ES61,1,2070.40396,1,3,1
2023,ES,375,ES61,1,2052.05139,1,3,1
2023,ES,376,ES61,1,2176.74825,1,3,1
2023,ES,377,ES61,1,1469.47416,1,2,1
